decision_id	condition	region_or_class	review_type	historical_label_or_profile	current_evidence_status	GO_matching_term_count	KEGG_matching_term_count	GO_evidence_change	KEGG_evidence_change	architecture_context	historical_interpretation	recommended_action_options	author_decision	author_notes
PROFILE_011	UV	Transitional Constant	COMBINED_PROFILE	Translation / protein targeting	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	26	2	STRENGTHENED_TERM_COUNT	RETAINED_TERM_COUNT	UV/Transitional/constant	GO theme: Translation / ribosome; KEGG theme: Translation / ribosome	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Translation/ribosome evidence remains supported. Rewrite using current Transitional classification and current membership.
PROFILE_012	UV	Transitional Down	COMBINED_PROFILE	Broad cellular regulation	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	334	1	STRENGTHENED_TERM_COUNT	WEAKENED_TERM_COUNT	UV/Transitional/down	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	PARTIALLY_RETAIN	Strong GO evidence remains but KEGG support is weaker; retain only the currently supported biological component.
PROFILE_013	UV	Transitional Up	COMBINED_PROFILE	No clear enrichment	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	0	8	ABSENT_UNCHANGED	NEW_EVIDENCE	UV/Transitional/up	GO theme: No significant GO enrichment; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	REVIEW_FURTHER	Historical no-clear-enrichment wording is no longer sufficient because new current KEGG evidence is present.
PROFILE_014	DES	Low Stability	COMBINED_PROFILE	Cell adhesion / extracellular interaction	SUPPORTED_BUT_LABEL_UPDATE	45	2	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	DES/Low Stability/tied	GO theme: Development / morphogenesis; KEGG theme: Cell adhesion / extracellular interaction	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Underlying current enrichment evidence is retained; update obsolete terminology to Low Stability.
PROFILE_015	GAM	Low Stability	COMBINED_PROFILE	Broad cellular regulation	SUPPORTED_BUT_LABEL_UPDATE	4	50	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	GAM/Low Stability/constant	GO theme: Broad regulatory / cellular process; KEGG theme: Other KEGG / manual review	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Revise wording to reflect current classification and current evidence only.
PROFILE_016	GAM	Low Stability	COMBINED_PROFILE	Weak / nonspecific enrichment	SUPPORTED_BUT_LABEL_UPDATE	0	14	ABSENT_UNCHANGED	RETAINED_TERM_COUNT	GAM/Low Stability/down	GO theme: No significant GO enrichment; KEGG theme: Other KEGG / manual review	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Revise wording to reflect current classification and current evidence only.
PROFILE_017	GAM	Low Stability	COMBINED_PROFILE	No clear enrichment	NO_CURRENT_EVIDENCE	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	GAM/Low Stability/tied	GO theme: No significant GO enrichment; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	No significant enrichment detected; retain this as a descriptive result, not as evidence of a biological pathway.
PROFILE_018	GAM	Low Stability	COMBINED_PROFILE	No clear enrichment	NO_CURRENT_EVIDENCE	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	GAM/Low Stability/up	GO theme: No significant GO enrichment; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	No significant enrichment detected; retain this as a descriptive result, not as evidence of a biological pathway.
PROFILE_019	GAM	Stable Constant	COMBINED_PROFILE	Weak / nonspecific enrichment	PARTIALLY_SUPPORTED	22	0	RETAINED_TERM_COUNT	ABSENT_UNCHANGED	GAM/Stable/constant	GO theme: Broad regulatory / cellular process; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	PARTIALLY_RETAIN	Current GO support remains but KEGG support is absent; narrow interpretation to the supported GO component.
PROFILE_020	GAM	Transitional Constant	COMBINED_PROFILE	No clear enrichment	NO_CURRENT_EVIDENCE	0	0	ABSENT_UNCHANGED	ABSENT_UNCHANGED	GAM/Transitional/constant	GO theme: No significant GO enrichment; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	No significant enrichment detected; retain this as a descriptive result, not as evidence of a biological pathway.
PROFILE_021	GAM	Transitional Down	COMBINED_PROFILE	Energy metabolism / redox regulation	PARTIALLY_SUPPORTED	0	2	ABSENT_UNCHANGED	RETAINED_TERM_COUNT	GAM/Transitional/down	GO theme: No significant GO enrichment; KEGG theme: Energy / core metabolism	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	PARTIALLY_RETAIN	Retain only the current KEGG-supported energy/core-metabolism component.
PROFILE_022	GAM	Transitional Up	COMBINED_PROFILE	Weak / nonspecific enrichment	PARTIALLY_SUPPORTED	283	0	RETAINED_TERM_COUNT	ABSENT_UNCHANGED	GAM/Transitional/up	GO theme: Broad regulatory / cellular process; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	PARTIALLY_RETAIN	Strong current GO evidence remains while KEGG support is absent; narrow the historical interpretation accordingly.
PROFILE_023	LT	Low Stability	COMBINED_PROFILE	Broad cellular regulation	SUPPORTED_BUT_LABEL_UPDATE	11	4	RETAINED_TERM_COUNT	RETAINED_TERM_COUNT	LT/Low Stability/tied	GO theme: Broad regulatory / cellular process; KEGG theme: Endocrine / physiological regulation	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Current GO and KEGG evidence remain supported; update historical terminology to Low Stability.
PROFILE_024	OSM	Highly Stable Constant	COMBINED_PROFILE	Weak / nonspecific enrichment	PARTIALLY_SUPPORTED	70	0	RETAINED_TERM_COUNT	ABSENT_UNCHANGED	OSM/Highly Stable/constant	GO theme: Broad regulatory / cellular process; KEGG theme: No significant KEGG enrichment	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	PARTIALLY_RETAIN	Retain the current GO-supported component only.
PROFILE_025	OSM	Highly Stable Down	COMBINED_PROFILE	Cell adhesion / extracellular interaction	PARTIALLY_SUPPORTED	0	49	ABSENT_UNCHANGED	RETAINED_TERM_COUNT	OSM/Highly Stable/down	GO theme: No significant GO enrichment; KEGG theme: Cell adhesion / extracellular interaction	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	PARTIALLY_RETAIN	Retain the current KEGG-supported adhesion/extracellular-interaction component only.
PROFILE_026	OSM	Highly Stable Up	COMBINED_PROFILE	Weak / nonspecific enrichment	PARTIALLY_SUPPORTED	0	98	ABSENT_UNCHANGED	RETAINED_TERM_COUNT	OSM/Highly Stable/up	GO theme: No significant GO enrichment; KEGG theme: Other KEGG / manual review	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	REVIEW_FURTHER	Substantial current KEGG evidence exists but the historical Other-KEGG/manual category is not a biologically specific interpretation.
GO_THEME_001		GO theme	GO_THEME	Unclassified / manual review	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW	0		AMBIGUOUS_REQUIRES_AUTHOR_REVIEW			fallback:TRUE	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	DROP	Unclassified/manual review is a workflow fallback and must not be presented as a biological theme.
KEGG_THEME_001		KEGG theme	KEGG_THEME	Cytoskeleton / cellular remodeling	NO_CURRENT_EVIDENCE		0		NO_CURRENT_EVIDENCE		ko048|map048|cytoskeleton|actin	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	DROP	Historical cytoskeleton/cellular-remodeling mapping has no current matching significant evidence.
KEGG_THEME_002		KEGG theme	KEGG_THEME	Other KEGG / manual review	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW		0		AMBIGUOUS_REQUIRES_AUTHOR_REVIEW		fallback:TRUE	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	DROP	Other KEGG/manual review is a catch-all workflow category, not an acceptable biological interpretation.
ARCH_001	UV	Transitional	CONDITION_ARCHITECTURE	Multi-layer signal architecture	PARTIALLY_SUPPORTED					dominant_regions=Transitional; minor_regions=Low Stability;Stable;Highly Stable; transitional_count=6697	Multi-layer signal architecture	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	PARTIALLY_RETAIN	Retain the multi-layer interpretation but revise it explicitly as Transitional-dominant. Do not describe UV as Low Stability- or Instability-dominant.
ARCH_002	DES	Highly Stable	CONDITION_ARCHITECTURE	Mixed stable-instabile architecture	SUPPORTED_BUT_LABEL_UPDATE					dominant_regions=Highly Stable; minor_regions=Low Stability; transitional_count=0	Mixed stable-instabile architecture	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Describe DES as Highly Stable-dominated with a substantial Low Stability component. Do not use stable-instabile wording.
ARCH_003	GAM	Stable	CONDITION_ARCHITECTURE	Multi-layer signal architecture	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW					dominant_regions=Stable; minor_regions=Low Stability;Transitional;Highly Stable; transitional_count=2106	Multi-layer signal architecture	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Describe GAM as a multi-layer architecture spanning all four regions, with Stable the largest region. Avoid causal or adaptive claims.
ARCH_004	HT	Highly Stable	CONDITION_ARCHITECTURE	Highly stable-dominated architecture	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW					dominant_regions=Highly Stable; minor_regions=none; transitional_count=0	Highly stable-dominated architecture	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN	HT is uniformly Highly Stable. Keep the architecture statement descriptive and do not infer adaptation or biological advantage from architecture alone.
ARCH_005	LT	Highly Stable	CONDITION_ARCHITECTURE	Highly stable-dominated architecture	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW					dominant_regions=Highly Stable; minor_regions=Low Stability; transitional_count=0	Highly stable-dominated architecture	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Describe LT as strongly Highly Stable-dominated with a smaller Low Stability component.
ARCH_006	OSM	Highly Stable	CONDITION_ARCHITECTURE	Highly stable-dominated architecture	AMBIGUOUS_REQUIRES_AUTHOR_REVIEW					dominant_regions=Highly Stable; minor_regions=none; transitional_count=0	Highly stable-dominated architecture	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN	OSM is uniformly Highly Stable. Keep the statement descriptive.
REP_001	UV	Highly Stable Up	REPRESENTATIVE_FEATURE	RvY_00970-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=up	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_002	UV	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_01899	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_003	UV	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_03124-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_004	UV	Highly Stable Up	REPRESENTATIVE_FEATURE	RvY_03533-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=up	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_005	UV	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_04051-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_006	UV	Highly Stable Up	REPRESENTATIVE_FEATURE	RvY_04200	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=up	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_007	UV	Highly Stable Up	REPRESENTATIVE_FEATURE	RvY_06176-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=up	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_008	UV	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_08293-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_009	UV	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_08972	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_010	UV	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_12077	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_011	UV	Highly Stable Up	REPRESENTATIVE_FEATURE	RvY_13782-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=up	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_012	DES	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_00526-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_013	DES	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_00953	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_014	DES	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_00970-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_015	DES	Highly Stable Up	REPRESENTATIVE_FEATURE	RvY_01258	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=up	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_016	DES	Highly Stable Up	REPRESENTATIVE_FEATURE	RvY_01312-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=up	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_017	DES	Highly Stable Up	REPRESENTATIVE_FEATURE	RvY_01367-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=up	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_018	GAM	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_02769-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_019	GAM	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_03150-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
REP_020	GAM	Highly Stable Down	REPRESENTATIVE_FEATURE	RvY_03923-1	RETAIN_WITH_REVISED_RATIONALE	0	0			stability_region=Highly Stable; dominant_state=down	frozen annotated Stable/Highly Stable directional representative ranking	RETAIN;RETAIN_WITH_REVISED_WORDING;PARTIALLY_RETAIN;DROP;REVIEW_FURTHER	RETAIN_WITH_REVISED_WORDING	Retain the existing representative candidate. Revise the rationale so it refers only to current FSF classification, annotation, and current GO/KEGG evidence. Do not introduce a new representative-selection analysis.
